Jogador;Time;#;Nação;Pos.;Idade
Luiz Felipe;Atlético Goianiense;3;BRA;CB;30
Bruno Tubarão;Atlético Goianiense;2;BRA;RB;29
Antonio Carlos;Fluminense;25;BRA;CB;31
Erick Marcus;Vasco da Gama;16;BRA;LM;20
Hugo Moura;Vasco da Gama;25;BRA;CM;26
Lucas Cunha;Red Bull Bragantino;4;BRA;CB;27
Pedro Henrique;Corinthians;16;BRA;LW;33
Breno;Corinthians;27;BRA;AM;19
Raul Bicalho;Corinthians;34;BRA;CB;24
Ronald;Grêmio;35;BRA;AM,CM;21
Luciano Giménez;Cuiabá;19;ARG;FW;24
Denilson;Cuiabá;27;BRA;CM;23
Lucas Fernandes;Cuiabá;18;BRA;CM;26
Gabriel Knesowitsch;Cuiabá;44;BRA;CB;20
Bruno Fabiano Alves;Cuiabá;34;BRA;CB;33
Matheus Alexandre;Cuiabá;2;BRA;RB;25
Luan Silva;Vitória;8;BRA;CM;24
Léo Naldi;Vitória;5;BRA;RM;22
Bruno Uvini;Vitória;25;BRA;CB;32
Willean Lepo;Vitória;97;BRA;RB;27
Christian;Athletico Paranaense;88;BRA;LW;23
Romulo;Internacional;40;BRA;DM;24
Hugo Mallo;Internacional;2;ESP;RB;32
Maguinho;Atlético Goianiense;13;BRA;CM;31
Max;Atlético Goianiense;22;BRA;RM,LM,FW;21
Gabriel Barros;Atlético Goianiense;19;BRA;RM;22
Lucas Kal;Atlético Goianiense;15;BRA;CB,CM;28
Budiga Roni;Atlético Goianiense;5;BRA;CM;25
Rhaldney;Atlético Goianiense;17;BRA;DM,CM;25
Alisson;São Paulo;25;BRA;CM;30
Damián Bobadilla;São Paulo;21;PAR;CM;22
Alan Franco;São Paulo;28;ARG;CB;27
Carlos Eduardo;Botafogo (RJ);33;BRA;FW;34
Diego Hernández;Botafogo (RJ);77;URU;RM,LM;23
Jacob Montes;Botafogo (RJ);32;NCA;FW,CM;25
Damián Suárez;Botafogo (RJ);22;URU;RB;35
Abner;Juventude;23;BRA;CM;20
Lucas Freitas;Juventude;43;BRA;CB;23
Machado;Cruzeiro;23;BRA;CM;28
Dimitri Payet;Vasco da Gama;10;FRA;AM;37
Felipe Vizeu;Criciúma;9;BRA;FW;27
Newton;Criciúma;8;BRA;CM;24
Gustavo;Criciúma;1;BRA;GK;31
Eliel Chrystian;Cuiabá;11;BRA;LM;21
Guilherme Madruga;Cuiabá;8;BRA;CM;23
Paulinho;Atlético Mineiro;10;BRA;FW;23
Alan Kardec;Atlético Mineiro;14;BRA;FW;35
Pedrinho;Atlético Mineiro;38;BRA;CM;26
Bruno Fuchs;Atlético Mineiro;3;BRA;CB;25
Wesley;Flamengo;43;BRA;RB;20
John;Botafogo (RJ);12;BRA;GK;28
João Pedro;Cruzeiro;55;BRA;LW;21
Daniel Jr;Vitória;80;BRA;RW;21
Léo Gamalho;Vitória;99;BRA;FW;38
Janderson;Vitória;39;BRA;LW;24
Biro;Corinthians;26;BRA;LM;20
Matheus Bidu;Corinthians;21;BRA;LB,CM;24
Cacá;Corinthians;25;BRA;CB;25
Carlos Miguel;Corinthians;22;BRA;GK;25
David Terans;Fluminense;80;URU;FW;29
Renato Augusto;Fluminense;20;BRA;AM;36
Guga;Fluminense;23;BRA;RB;25
Kervin Andrade;Fortaleza;77;VEN;AM;19
